parliament,date,name,url,ayes,noes,ayes_noscotland,noes_noscotland,different
2017,19-Jul-18,Parliamentary Commissioner for Standards — Publication of Information About Matters Under Investigation,http://www.publicwhip.org.uk/division.php?date=2018-07-19&house=commons&number=232&display=allvotes,24,81,24,77,FALSE
2017,18-Jul-18,Leave for European Union Citizens and Others To Remain in the United Kingdom Following Withdrawal from the Union — Fingerprint and Facial Photograph Information,http://www.publicwhip.org.uk/division.php?date=2018-07-18&house=commons&number=231&display=allvotes,311,262,298,221,FALSE
2017,18-Jul-18,"Relations Between the European Union, its Member States and New Zealand",http://www.publicwhip.org.uk/division.php?date=2018-07-18&house=commons&number=230&display=allvotes,536,3,513,3,FALSE
2017,18-Jul-18,"Relations Between the European Union, its Member States and Australia",http://www.publicwhip.org.uk/division.php?date=2018-07-18&house=commons&number=229&display=allvotes,534,3,511,3,FALSE
2017,18-Jul-18,"Relations Between the European Union, its Member States and Canada",http://www.publicwhip.org.uk/division.php?date=2018-07-18&house=commons&number=228&display=allvotes,534,3,511,3,FALSE
2017,18-Jul-18,"Relations Between the European Union, its Member States and Cuba",http://www.publicwhip.org.uk/division.php?date=2018-07-18&house=commons&number=227&display=allvotes,534,3,511,3,FALSE
2017,18-Jul-18,"Relations Between the European Union, its Member States, and Central America",http://www.publicwhip.org.uk/division.php?date=2018-07-18&house=commons&number=226&display=allvotes,534,3,511,3,FALSE
2017,18-Jul-18,Partnership and Cooperation with the Republic of Armenia — European Union,http://www.publicwhip.org.uk/division.php?date=2018-07-18&house=commons&number=225&display=allvotes,535,3,512,3,FALSE
2017,17-Jul-18,Trade Bill — Third Reading,http://www.publicwhip.org.uk/division.php?date=2018-07-17&house=commons&number=224&display=allvotes,319,287,306,246,FALSE
2017,17-Jul-18,Trade Bill — New Clause 18 — UK-EU Free Trade Area or Customs Union,http://www.publicwhip.org.uk/division.php?date=2018-07-17&house=commons&number=223&display=allvotes,303,309,260,296,FALSE
2017,17-Jul-18,Trade Bill — Schedule 4 — The Trade Remedies Authority — Non-Executive Members — Representation,http://www.publicwhip.org.uk/division.php?date=2018-07-17&house=commons&number=221&display=allvotes,298,316,255,303,FALSE
2017,17-Jul-18,Trade Bill — Clause 1 — Implementation of the Agreement on Government Procurement — Consent of Welsh and Scottish Ministers,http://www.publicwhip.org.uk/division.php?date=2018-07-17&house=commons&number=220&display=allvotes,40,320,7,307,FALSE
2017,17-Jul-18,Trade Bill — New Clause 4 — Implementation of International Trade and Government Procurement Agreements — Consent of Devolved Administrations,http://www.publicwhip.org.uk/division.php?date=2018-07-17&house=commons&number=219&display=allvotes,250,319,240,305,FALSE
2017,17-Jul-18,Trade Bill — Clause 2 — International Free Trade Agreements — Consultation Prior to Consideration by Parliament,http://www.publicwhip.org.uk/division.php?date=2018-07-17&house=commons&number=218&display=allvotes,285,317,242,304,FALSE
2017,17-Jul-18,Trade Bill — New Clause 20 — Approval of Negotiating Mandates — Devolved Administrations — International Trade Agreements,http://www.publicwhip.org.uk/division.php?date=2018-07-17&house=commons&number=217&display=allvotes,39,318,6,305,FALSE
2017,17-Jul-18,Trade Bill — New Clause 3 — Free Trade Agreements: Parliamentary Scrutiny and Consent,http://www.publicwhip.org.uk/division.php?date=2018-07-17&house=commons&number=216&display=allvotes,285,316,242,303,FALSE
2017,16-Jul-18,Taxation (Cross-Border Trade) Bill — Third Reading — Powers for Ministers to Create a New Customs Regime,http://www.publicwhip.org.uk/division.php?date=2018-07-16&house=commons&number=214&display=allvotes,320,287,307,243,FALSE
2017,16-Jul-18,Taxation (Cross-Border Trade) Bill — Schedule 8 Paragraph 14 — VAT on Imports from Territories in a Customs Union With the UK — Powers of Ministers,http://www.publicwhip.org.uk/division.php?date=2018-07-16&house=commons&number=213&display=allvotes,305,302,293,259,FALSE
2017,16-Jul-18,Taxation (Cross-Border Trade) Bill — Clause 13 — Dumped Goods — Presumption of Remedial Action,http://www.publicwhip.org.uk/division.php?date=2018-07-16&house=commons&number=212&display=allvotes,285,319,245,306,FALSE
2017,16-Jul-18,Taxation (Cross-Border Trade) Bill — New Clause 36 — Collection of Customs Duties and VAT for Other Countries — Requirement for Reciprocal Agreement,http://www.publicwhip.org.uk/division.php?date=2018-07-16&house=commons&number=211&display=allvotes,306,304,294,261,FALSE
2017,16-Jul-18,Taxation (Cross-Border Trade) Bill — New Clause 16 — Consent of the Scottish Parliament — Taxes on International Trade,http://www.publicwhip.org.uk/division.php?date=2018-07-16&house=commons&number=210&display=allvotes,38,318,5,305,FALSE
2017,16-Jul-18,Taxation (Cross-Border Trade) Bill — New Clause 13 — House of Commons Approval for Import/Export Duties and Quotas,http://www.publicwhip.org.uk/division.php?date=2018-07-16&house=commons&number=209&display=allvotes,293,318,250,305,FALSE
2017,16-Jul-18,Taxation (Cross-Border Trade) Bill — New Clause 11 — Preparedness for a Customs Union with the European Union,http://www.publicwhip.org.uk/division.php?date=2018-07-16&house=commons&number=208&display=allvotes,291,318,248,305,FALSE
2017,11-Jul-18,Draft Renewables Obligation (Amendment) Order 2018 — Support for Use of Biomass in Former Coal Fired Power Stations,http://www.publicwhip.org.uk/division.php?date=2018-07-11&house=commons&number=206&display=allvotes,301,211,288,202,FALSE
2017,11-Jul-18,Censure of the Secretary of State for Work and Pensions — Esther McVey MP — Universal Credit,http://www.publicwhip.org.uk/division.php?date=2018-07-11&house=commons&number=207&display=allvotes,270,307,237,294,FALSE
2017,10-Jul-18,Cross-party Government of National Unity,http://www.publicwhip.org.uk/division.php?date=2018-07-10&house=commons&number=205&display=allvotes,15,301,12,288,FALSE
2017,04-Jul-18,Ivory Bill — New Clause 2 — Report on the International Ivory Market,http://www.publicwhip.org.uk/division.php?date=2018-07-04&house=commons&number=204&display=allvotes,264,308,224,296,FALSE
2017,04-Jul-18,"Ivory Bill — New Clause 1 — Restrictions on Dealing Ivory from Hippopotamus, Killer Whale, Narwal, Sperm Whale or Walrus",http://www.publicwhip.org.uk/division.php?date=2018-07-04&house=commons&number=203&display=allvotes,258,306,218,294,FALSE
2017,03-Jul-18,Remaining Main Estimates 2018-19,http://www.publicwhip.org.uk/division.php?date=2018-07-03&house=commons&number=202&display=allvotes,177,35,166,5,FALSE
2017,03-Jul-18,Main Estimates 2018-19 — Treasury,http://www.publicwhip.org.uk/division.php?date=2018-07-03&house=commons&number=201&display=allvotes,241,35,229,5,FALSE
2017,03-Jul-18,Main Estimates 2018-19 — Department for Education,http://www.publicwhip.org.uk/division.php?date=2018-07-03&house=commons&number=200&display=allvotes,300,35,288,5,FALSE
2017,03-Jul-18,"Main Estimates 2018-19 — Department of Health and Social Care and Ministry of Housing, Communities and Local Government",http://www.publicwhip.org.uk/division.php?date=2018-07-03&house=commons&number=199&display=allvotes,309,35,297,5,FALSE
2017,03-Jul-18,Main Estimates 2018-19 — Ministry of Justice,http://www.publicwhip.org.uk/division.php?date=2018-07-03&house=commons&number=198&display=allvotes,314,34,302,5,FALSE
